timestamp,title,url,author,tags,thumbnail,name,claimed,mapClass
9/1/2015 18:10:52,"Delray, Detroit","https://en.wikipedia.org/wiki/Delray,_Detroit","Delray, Detroit",Detroit; Delray; no map,,,,"Delray,Detroit"
8/28/2015 11:18:26,Detroit Wall,https://en.wikipedia.org/wiki/Detroit_Wall,Detroit Wall,Detroit; Michigan; no map,,Ed Vielmetti (switched from Pat Sier),Yes,DetroitWall
8/22/2015 17:41:50,Diplomatic Missions of Qatar,https://en.wikipedia.org/wiki/List_of_diplomatic_missions_of_Qatar,List of diplomatic missions of Qatar,diplomatic; missions; qatar; middle east; ,https://upload.wikimedia.org/wikipedia/commons/c/ce/Diplomatic_missions_of_Qatar.PNG,,,DiplomaticMissionsofQatar
8/22/2015 13:16:38,Distancia a la costa,https://en.wikipedia.org/wiki/Pole_of_inaccessibility,Pole of inaccessibility,isolines; world; poles,https://upload.wikimedia.org/wikipedia/commons/a/ad/Distancia_a_la_costa.png,,,Distanciaalacosta
8/28/2015 18:26:35,El Jadida Province,https://en.wikipedia.org/wiki/El_Jadida_Province,El Jadida Province,morocco; el jadida; doukkala; no map,,Amy Rock,Yes,ElJadidaProvince
8/28/2015 15:52:31,Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea,Equatorial Guinea,africa; nation; no detail; Equatorial Guinea; no map,,,,EquatorialGuinea
8/22/2015 13:42:20,Expansion of the Hittite Empire,https://en.wikipedia.org/wiki/Arzawa,Arzawa,arzawa; hittite; empire,https://upload.wikimedia.org/wikipedia/commons/8/84/Hittite_Empire.png,,,ExpansionoftheHittiteEmpire
8/22/2015 13:13:39,Fort Hall,https://en.wikipedia.org/wiki/Fort_Hall,Fort Hall,fort; hall; oregon; california ,https://40.media.tumblr.com/bfd8f5ad0ce1be8939a3a2027ef89a2e/tumblr_no9mdwkOGP1uvxx7mo1_400.png,,,FortHall
9/1/2015 18:31:52,"Fort Wayne, Detroit",https://en.wikipedia.org/wiki/Fort_Wayne_(Detroit),"Fort Wayne, Detroit",Detroit; no map,,,,"FortWayne,Detroit"
8/22/2015 14:13:42,Goose Lakes,https://en.wikipedia.org/wiki/Goose_Lakes,Goose Lakes,lake; water; no map,,,,GooseLakes
8/22/2015 14:14:49,Gorj County in Romania,https://en.wikipedia.org/wiki/Gorj_County#Neighbours,Gorj County,gorj; romania; europe,https://upload.wikimedia.org/wikipedia/commons/0/09/Romania_judete.svg,N. Panchaud,Yes,GorjCountyinRomania
8/22/2015 19:35:20,Grand Prix of St. Petersburg,https://en.wikipedia.org/wiki/Grand_Prix_of_St._Petersburg,Grand Prix of St. Petersburg,grand prix; st. petersburg; florida; usa,https://upload.wikimedia.org/wikipedia/commons/5/56/St._Petersburg_street_%26_airport_racing_circuit.svg,,,GrandPrixofSt.Petersburg
8/22/2015 19:57:20,Hakone Tozan Line,https://en.wikipedia.org/wiki/Hakone_Tozan_Line,Hakone Tozan Line,Hakone; transportation; train; japan; asia; no map,,,,HakoneTozanLine
8/22/2015 17:52:39,Highland Recreation Area,https://en.wikipedia.org/wiki/Highland_Recreation_Area,Highland Recreation Area,recreation; highland; michigan; usa; no map,,Chelsea Rozek,Yes,HighlandRecreationArea
9/1/2015 17:32:44,Huron River Chain of Lakes,https://en.wikipedia.org/wiki/Huron_river_chain_of_lakes,Huron river chain of lakes,michigan; lakes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Huron_River_Michigan_map.png/2560px-Huron_River_Michigan_map.png,,,HuronRiverChainofLakes
